HIP,RAhms,DEdms,Vmag,RA(ICRS),DE(ICRS),Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,e_RAdeg,B-V,e_B-V,V-I,e_V-I,SpT
439,00 05 20.29,-37 21 06.1,8.56,1.33455564,-37.3516811,229.33,1.08,5634.07,0.96,-2337.94,0.79,0.83,1.462,0.026,2.13,0.01,M2V         
3829,00 49 09.18,+05 23 42.7,12.37,12.28823784,5.39519773,226.95,5.35,1233.05,4.72,-2710.56,3.67,4.38,0.554,0.003,0.49,0.02,DG          
72509,14 49 32.69,-26 06 40.2,12.07,222.38618849,-26.11117761,221.8,69.07,-1421.6,82.33,-203.6,61.18,158.74,1.524,0.02,2.25,0.14,M           
86162,17 36 26.41,+68 20 32.0,9.15,264.1100265,68.34222717,220.85,0.92,-320.47,1.08,-1269.55,1.31,0.88,1.505,0.013,2.11,0.1,M3.5Vvar    
85523,17 28 39.46,-46 53 35.0,9.38,262.16440365,-46.89305173,220.43,1.63,573.32,1.88,-879.84,0.85,1.48,1.553,0.017,2.4,0.01,K5          
57367,11 45 39.26,-64 50 26.4,11.5,176.41359792,-64.84067419,216.4,2.11,2665.17,1.98,-346.83,1.91,1.61,0.196,0.057,0.21,0.07,DC:         
113020,22 53 16.16,-14 15 43.4,10.16,343.31731628,-14.26205842,212.69,2.1,960.33,3.75,-675.64,1.64,1.86,1.597,0.035,2.77,0.01,M5          
54211,11 05 32.13,+43 31 28.1,8.82,166.38385827,43.52448449,206.94,1.19,-4410.79,0.93,943.32,0.87,0.81,1.491,0.002,2.01,0.01,M2Vvar      
49908,10 11 23.36,+49 27 19.7,6.6,152.84734577,49.45546425,205.22,0.81,-1361.55,0.59,-505,0.48,0.56,1.326,0.008,1.29,0.01,K8V         
85605,17 29 36.19,+24 39 11.6,11.39,262.40078667,24.65322144,202.69,39.48,97.33,26.69,348.92,41.28,39.85,1.101,0.113,1.06,0.12,            
106440,21 33 34.02,-49 00 25.3,8.66,323.39173448,-49.007018,202.53,1.33,-46.18,1.12,-818.01,0.71,0.9,1.521,0.099,2.18,0,M1V         
86214,17 37 04.24,-44 19 01.0,10.94,264.26766824,-44.31693542,198.32,2.43,-710.11,2.83,-937.99,2.1,2.16,1.655,0.005,2.82,0.01,M5          
19849,04 15 17.64,-07 38 40.4,4.43,63.8234923,-7.64455846,198.24,0.84,-2239.33,0.79,-3419.86,0.73,0.67,0.82,0,0.89,0.02,K1V         
112460,22 46 50.31,+44 20 06.4,10.29,341.70961216,44.33510774,198.07,2.05,-704.66,1.19,-459.39,1.33,1.15,1.54,0.51,2.89,0.91,M4.5Ve      
88601,18 05 27.21,+02 30 08.8,4.03,271.36338682,2.50243928,196.62,1.38,124.56,1.15,-962.66,0.91,1.46,0.86,0.01,0.96,0.02,K0V SB      
97649,19 50 46.68,+08 52 02.6,0.76,297.6945086,8.86738491,194.44,0.94,536.82,0.73,385.54,0.68,0.6,0.221,0.01,0.27,0.02,A7IV-V      
1242,00 15 27.67,-16 07 56.3,11.49,3.86528051,-16.13230661,191.86,17.24,728.18,18.76,-617.48,10.67,12.84,1.75,0.01,3.01,0.03,M:          
57544,11 47 39.17,+78 41 24.0,10.8,176.91319098,78.68999275,185.48,1.43,743.21,1.55,480.4,1.21,1.27,1.572,0.019,2.53,0.08,M4          
67155,13 45 42.70,+14 53 42.2,8.46,206.42792982,14.89505746,184.13,1.27,1778.46,0.98,-1455.52,0.89,0.9,1.435,0.028,2.07,0.02,M3V         
103039,20 52 33.20,-16 58 29.3,11.41,313.13835215,-16.9748128,182.15,3.68,-306.7,3.77,30.78,4.05,2.82,1.653,0.022,2.73,0.07,            
21088,04 31 10.05,+58 58 55.4,10.82,67.79185895,58.98205252,181.36,3.67,1300.21,4.27,-2048.99,3.1,3.81,1.17,0.042,1.13,0.04,            
33226,06 54 49.47,+33 16 08.9,9.89,103.70610465,33.26914569,181.32,1.87,-729.33,2.06,-399.31,1.33,1.67,1.58,0.04,2.56,0.09,K:...       
53020,10 50 52.54,+06 48 36.4,11.64,162.7189047,6.81011677,177.46,23,-804.4,36.46,-809.6,16.55,23.83,1.679,0.001,2.81,0.01,M4:         
25878,05 31 26.95,-03 40 19.7,7.97,82.86229396,-3.67214214,175.72,1.2,763.05,1.15,-2092.89,0.73,0.93,1.474,0.009,2.08,0.01,M1V         
82817,16 55 29.24,-08 20 03.1,9.02,253.87184972,-8.33420783,174.23,3.9,-829.34,4.08,-878.81,2.48,6.8,1.553,0.02,2.46,0,M3Ve        
96100,19 32 20.59,+69 39 55.4,4.67,293.08577692,69.66540172,173.41,0.46,598.43,0.5,-1738.81,0.47,0.45,0.786,0.007,0.85,0.02,K0V         
29295,06 10 34.70,-21 51 46.5,8.15,92.64458964,-21.86290752,173.19,1.12,-137.01,0.61,-714.06,0.89,0.51,1.487,0.008,2.01,0.02,M1/M2V      
26857,05 42 08.07,+12 29 35.4,11.56,85.53363564,12.493155,172.78,3.88,1999.05,2.67,-1570.64,1.67,3.23,1.675,0.032,2.83,0.02,M5          
86990,17 46 35.44,-57 18 56.7,10.75,266.64766164,-57.31575508,172.08,2.22,-1119.87,2.13,-1352.52,1.51,1.76,1.66,0.027,2.54,0.02,M5          
94761,19 16 55.60,+05 10 19.7,9.12,289.23164974,5.17214064,170.26,1.37,-578.86,1.33,-1331.7,0.91,1.16,1.464,0.005,2.32,0,M3.5V       
73184,14 57 27.35,-21 24 40.6,5.72,224.36396501,-21.4112809,169.32,1.67,1034.18,1.8,-1725.6,1.29,1.77,1.024,0.015,1.23,0.08,K4V         
37766,07 44 40.38,+03 33 12.8,11.19,116.16823269,3.55354943,168.59,2.67,-344.87,2.6,-450.84,1.75,2.46,1.6,0.02,2.95,0.02,M4.5Ve      
76074,15 32 13.85,-41 16 23.1,9.31,233.05768961,-41.27308564,168.52,1.42,-1177.47,1.42,-1028.86,1.29,1.11,1.524,0.026,2.4,0.01,M0          
3821,00 49 05.10,+57 48 59.6,3.46,12.27125262,57.8165477,167.99,0.62,1087.11,0.44,-559.65,0.44,0.44,0.587,0.003,0.66,0,G0V SB      
84478,17 16 13.68,-26 32 36.3,6.33,259.05698088,-26.54341625,167.56,1.06,-479.71,1.05,-1123.37,0.61,0.97,1.144,0.02,1.28,0.02,K5V         
117473,23 49 11.95,+02 24 12.9,8.98,357.29977433,2.40357651,167.51,1.49,995.12,2.31,-968.25,0.82,1.82,1.46,0.017,2.04,0.01,M2V         
84405,17 15 21.29,-26 36 00.2,4.33,258.83869698,-26.60004896,167.08,1.07,-473.69,1.04,-1143.93,0.62,1.22,0.855,0.01,0.92,0.02,K2:III:     
