   spec_id                                kic             teff          err_teff           logg          err_logg        feh            err_feh           afe            err_afe       ch              err_ch         nh             err_nh         dnu             err_dnu       numax         err_numax      mass          err_mass         age                       err_age
 20151002-KP192314N471144V02-13-089       10145736      4912.8564453    104.9716263        3.1307800      0.1269800      0.2086265      0.0693887       -0.0108834      0.0376314      0.0519337      0.0766291      0.5410710      0.0906791     14.0809002      0.0255800    193.7747345      1.0149601      1.5592972      0.0858084       3.2962500000000001       0.6267870000000000  

 20151001-KP194045N483045V04-05-211       10146803      5025.4130859     78.8437653        3.1940899      0.0984516     -0.2255202      0.0609339       -0.0015392      0.0335358     -0.2841780      0.0671671     -0.2137200      0.0834198     13.5982504      0.0137500    168.5394745      0.9132200      1.2562151      0.0550642       4.5087900000000003       1.0858800000000000  

 20150921-KP193637N444141V04-11-222       10148531      4847.0556641    138.3186188        2.9014599      0.1642700     -0.0225206      0.0944642       -0.0197323      0.0494532     -0.2475150      0.1054830      0.0716510      0.1131100      5.2128901      0.0164800     50.3370781      0.5379000      1.3805465      0.1208094       3.8111999999999999       1.3299399999999999  

 20151001-KP194045N483045V04-05-081       10148629      4760.1547852     75.7732162        2.9312501      0.0858314     -0.0550662      0.0597354        0.0423017      0.0307271     -0.1228970      0.0637243     -0.0096153      0.0797388      8.4344301      0.0219800     91.6280899      0.7189400      1.1736442      0.0678837       6.9302099999999998       1.4912700000000001  

 20151001-KP194045N483045V04-05-098       10149173      4657.3076172    129.8224640        2.7690201      0.1326820      0.3573920      0.0754128        0.0756997      0.0395528      0.3456320      0.0818412      0.6324760      0.0967367      7.3043599      0.0120400     77.1631088      0.9648300      1.2198938      0.1048098       7.4458799999999998       2.3737900000000001  

 20151001-KP194045N483045V04-05-080       10149324      4678.3188477    105.7926407        3.0680101      0.1063850      0.4154698      0.0618570        0.0660879      0.0337566      0.3826150      0.0692364      0.6958150      0.0869716     12.4137096      0.0273100    154.7864227      0.7076400      1.1919889      0.0672701       7.9628500000000004       1.6983600000000001  

 20151001-KP194045N483045V03-08-207       10152909      4803.6347656     82.6281052        2.8774400      0.0663626      0.0609945      0.0540335        0.0694341      0.0289740      0.0300997      0.0563163      0.1572930      0.0720219      7.4852099      0.0113800     78.6485596      0.4615900      1.2305065      0.0608979       5.8652400000000000       1.1216299999999999  

